sprint,phase,week_start,week_end,goal,module_slices,deliverables,entry_rule,exit_rule,planned_capacity,status
S01,P0,1,2,目标实例盘点、样本授权与工程试建,M01;M02;M19,目标环境台账、初始范围及可复现健康检查,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S02,P0,3,4,基线一致性与旧脚本/接口兼容概念验证,M01;M14;M24;M25,黄金样本、迁移缺口和比较轨迹,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S03,P0,5,6,数据/API/预算冻结，G0 范围评审,M01;M02;M29,签批范围、ADR、风险和资源计划,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S04,P1,7,8,工程底座、身份与项目隔离,M02;M03,登录、项目成员、CI 最小切片,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S05,P1,9,10,需求身份/修订及基础元数据,M04;M07,创建需求纵向切片和权限负向测试,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S06,P1,11,12,附件、目录、发布与需求关联,M05;M06;M07,隔离附件、需求树和周期,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S07,P1,13,14,测试用例、步骤与参数配置,M08,不可变用例修订及编辑冲突,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S08,P1,15,16,需求测试追踪与基础覆盖查询,M11,关系版本与覆盖验证,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S09,P1,17,18,测试集、实例与手工运行,M09,manifest、步骤结果和运行历史,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S10,P1,19,20,缺陷提交、流转与复测闭环,M10;M13,状态规则、失败步骤缺陷关联,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S11,P1,21,22,查询、导入导出和基础报表,M12;M15,带权限导出及指标口径,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S12,P1,23,24,首个执行适配器与基础迁移,M16;M19,测试结果归档、幂等迁移,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S13,P1,25,26,核心端到端回归和 G1 内部试用,M29;M31,试用说明、阻断清单和 G1 证据,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S14,P2,27,28,字段升级与受控查询语法,M04,字段迁移验证及查询权限,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S15,P2,29,30,规则事件与服务端统一校验,M13,入口一致性及脚本隔离,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S16,P2,31,32,资产版本、扫描与保留策略,M05,不可变对象及恶意文件隔离,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S17,P2,33,34,需求评审与变更影响,M07;M11,审批及影响集合重现,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S18,P2,35,36,用例配置扩展与资源固定,M08,参数校验和资源版本固定,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S19,P2,37,38,签入签出、版本差异,M14,版本规则和并发控制,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S20,P2,39,40,库、基线快照和依赖闭包,M14,并发快照正确性报告,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S21,P2,41,42,基线固定执行及历史语义,M09;M14,新旧行为差异登记,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S22,P2,43,44,跨项目模板元数据原型,M20,继承与本地覆盖模型,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S23,P2,45,46,模板升级与冲突预览,M20,三方合并、回退和权限,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S24,P2,47,48,共享库资产同步与授权,M20,来源追踪及冲突保留,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
S25,P2,49,50,任务队列、租约和节点注册,M16,fencing 与失联处理,具体前置切片已通过；不以完整模块编号代替实际依赖,目标行为测试、权限/错误分支和证据通过独立评审,按当期团队细化；未做个人排班,PLANNED
