case_id,name,modules,preconditions,steps,expected_result,status,evidence,reviewer
E2E-001,需求到失败缺陷再复测,M07;M08;M09;M10;M11,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,建立需求→关联用例→加入测试集→手工执行失败→从失败步骤建缺陷→修复后另建运行,全链可追踪；旧失败不被复测通过覆盖,NOT_RUN,,
E2E-002,并发编辑需求,M07,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,两名同权限用户读取相同版本；先后提交不同修改,后提交收到409/412冲突；不会静默覆盖；成功修改有审计,NOT_RUN,,
E2E-003,跨租户全部出口,M03;M05;M12;M15;M27,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,用A租户用户访问B的API、附件、导出、报表和AI索引,全部拒绝或不返回对象；不泄漏存在性或内容,NOT_RUN,,
E2E-004,配置维度执行统计,M08;M09;M15,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,同一用例建两配置；分别执行失败/通过；生成报表,两个实例各有结果；统计分母与约定一致,NOT_RUN,,
E2E-005,基线并发快照,M14,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,创建含需求用例资源及关系的库；并发更新并生成基线,基线只含一个一致快照；实体、关系、依赖版本完整,NOT_RUN,,
E2E-006,基线固定执行,M09;M14,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,固定测试集基线；修改当前用例；执行并查看步骤,执行旧固定版本；差异行为依批准策略记录,NOT_RUN,,
E2E-007,附件隔离与下载,M05,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,上传待扫描附件；尝试下载；扫描通过后下载；撤销权限再下载,待扫描不可公开；授权校验有效；撤权后不发新下载权限,NOT_RUN,,
E2E-008,规则多入口一致,M13,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,用UI、API、导入和离线同步提交同一违规状态变化,全部受服务端规则校验；无旁路写入,NOT_RUN,,
E2E-009,模板升级冲突,M20,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,模板和派生项目修改同一字段；发起升级预览,显示冲突并保留本地设置；批准前不覆盖,NOT_RUN,,
E2E-010,跨项目资产复用,M20,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,授权共享库；导入后本地修改；来源再更新；同步,来源可追踪；三方差异明确；撤权后新访问拒绝,NOT_RUN,,
E2E-011,运行租约失效,M16,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,节点A领取任务；超时后B领取新代次；A迟到上传结果,A回写被fencing拒绝；B为有效尝试；历史事实保留,NOT_RUN,,
E2E-012,结果分片幂等,M16,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,乱序重复上传同一分片；缺片时提交完成；补齐再提交,重复不增加结果；缺片不完成；哈希通过后原子封存,NOT_RUN,,
E2E-013,取消与重试竞争,M16,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,运行中取消并同时收到完成；人工请求重试,按状态机原子裁定；重试生成新attempt；副作用风险可见,NOT_RUN,,
E2E-014,资源预订冲突,M17,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,两任务同时申请同一不可共享资源和重叠时段,最多一个成功预订；另一收到明确冲突且不超卖,NOT_RUN,,
E2E-015,外部同步循环,M18,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,本平台创建缺陷同步外部；外部回调相同关联ID并重复投递,不反复创建；幂等记录、死信和重放可核对,NOT_RUN,,
E2E-016,全量迁移重跑,M19,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,导入黄金样本；中断；续传；再次完整重跑,映射稳定；对象不重复；附件哈希和关系一致,NOT_RUN,,
E2E-017,增量含删除迁移,M19,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,源侧改字段、删对象及新增附件；跨检查点导入,删除或墓碑去向明确；无更新时间盲区；冲突可解释,NOT_RUN,,
E2E-018,切换回滚保护新写入,M19;M30,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,完成停写切换；新平台产生记录；触发回滚演练,先保存并对账切换后记录；不直接旧备份覆盖,NOT_RUN,,
E2E-019,旧REST/OTA真实样本,M24;M25,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,按批准版本矩阵运行原客户端程序；比较请求、返回和错误轨迹,零修改、需改写和不支持分类真实；无自写样本冒充旧资产,NOT_RUN,,
E2E-020,BPT版本与参数,M21,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,组件组成流程并执行；修改组件后运行原固定版本,旧运行仍引用旧组件；参数不匹配时执行前拒绝,NOT_RUN,,
E2E-021,离线包冲突与过期,M23,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,离线执行期间在线改资产并撤销权限；回传重复及过期包,保留离线证据来源；冲突人工解决；遵循已批准撤权策略,NOT_RUN,,
E2E-022,签名证据及审计,M26,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,签署固定修订；尝试篡改内容；导出验证包；导入旧签名,哈希校验失败能发现篡改；迁入签名标明旧来源,NOT_RUN,,
E2E-023,AI权限和人工确认,M27,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,向AI提问其他项目资料；生成错误用例建议；尝试自动记通过,无越权检索；建议需人工采纳；不能生成真实执行通过证据,NOT_RUN,,
E2E-024,独立恢复与发行,M28;M29;M30;M32,隔离测试环境；授权黄金样本；相关切片已部署；已记录构建ID,从发行包在空环境部署；恢复备份与日志；运行黄金样本,数据、权限、附件和基线可重现；记录实测RPO/RTO与未达项,NOT_RUN,,
