acceptance_id,module_id,phase,assertion,fixture,execution,expected_result,status,build_id,environment,evidence,reviewer
M01-AC01,M01,P0,提供目标产品授权信息和版本证据，范围项均有来源或明确标记为新产品设计。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,提供目标产品授权信息和版本证据，范围项均有来源或明确标记为新产品设计。,NOT_RUN,,,,
M01-AC02,M01,P0,三个脱敏样本的数量清单、哈希和访问审批可复核。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,三个脱敏样本的数量清单、哈希和访问审批可复核。,NOT_RUN,,,,
M01-AC03,M01,P0,同一条旧脚本在原环境和概念验证环境的事件轨迹可比对。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,同一条旧脚本在原环境和概念验证环境的事件轨迹可比对。,NOT_RUN,,,,
M01-AC04,M01,P0,全部 OPEN 决策均有角色负责人、截止闸门和影响说明。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,全部 OPEN 决策均有角色负责人、截止闸门和影响说明。,NOT_RUN,,,,
M01-AC05,M01,P0,老板签批的是待研发范围与阶段额度，没有把文档交付当成产品完成。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,老板签批的是待研发范围与阶段额度，没有把文档交付当成产品完成。,NOT_RUN,,,,
M02-AC01,M02,P0/P1,新开发机按 README 安装后可构建健康检查，并得到一致版本信息。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,新开发机按 README 安装后可构建健康检查，并得到一致版本信息。,NOT_RUN,,,,
M02-AC02,M02,P0/P1,一个跨模块非法依赖会被架构测试阻止。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,一个跨模块非法依赖会被架构测试阻止。,NOT_RUN,,,,
M02-AC03,M02,P0/P1,数据库从空库迁移和从上一个版本迁移均通过。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,数据库从空库迁移和从上一个版本迁移均通过。,NOT_RUN,,,,
M02-AC04,M02,P0/P1,包含明文凭据的测试提交会被预提交或 CI 检出，日志不泄露密钥。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,包含明文凭据的测试提交会被预提交或 CI 检出，日志不泄露密钥。,NOT_RUN,,,,
M02-AC05,M02,P0/P1,流水线失败不会发布镜像或修改生产环境。,按模块定义的授权黄金样本,将断言转换为可复跑步骤并提交测试代码；观察模块期望行为及失败路径,流水线失败不会发布镜像或修改生产环境。,NOT_RUN,,,,
