risk_id,risk,owner_role,gate,trigger,mitigation,status,probability,impact,evidence
RISK-01,目标范围未知,产品负责人,G0,版本/Edition/扩展未冻结,完整盘点并签批；未知项保留OPEN,OPEN,待P0评估,待P0量化,
RISK-02,旧客户端兼容不确定,兼容负责人,G0/G3,真实样本无法运行,隔离实验室、逐行为差异及方案评审,OPEN,待P0评估,待P0量化,
RISK-03,历史数据不可完整提取,迁移负责人,G0/G2,作者、基线、附件缺失,合法提取途径、缺口登记、只读存档去向,OPEN,待P0评估,待P0量化,
RISK-04,并发基线不一致,架构师,G1/G2,运行引用混合版本,快照事务、版本闭包和独立校验,OPEN,待P0评估,待P0量化,
RISK-05,专项人员不足,项目负责人,每阶段,COM/迁移能力无负责人,招聘、培训或授权专项合作,OPEN,待P0评估,待P0量化,
RISK-06,范围持续扩大,产品负责人,每阶段,未审批需求进入开发,变更控制与预算重估,OPEN,待P0评估,待P0量化,
RISK-07,工作流脚本绕过安全,安全负责人,G2/G3,任意文件/网络或命令访问,隔离进程、限时限额、白名单,OPEN,待P0评估,待P0量化,
RISK-08,跨租户泄漏,安全负责人,每阶段,任一出口越权,阻断发布、修复并全出口回归,OPEN,待P0评估,待P0量化,
RISK-09,许可及独立研发证据缺失,授权负责人,G0/G3,组件不可合法分发,审查许可、不绕过授权、独立实现记录,OPEN,待P0评估,待P0量化,
RISK-10,备份不可恢复,SRE,G2/G4,仅有备份无演练,隔离恢复、对象与数据库一致性验证,OPEN,待P0评估,待P0量化,
RISK-11,成本失控,项目负责人,每月,完工预测超过批准额度,分阶段资金释放、风险预备费审批,OPEN,待P0评估,待P0量化,
RISK-12,执行副作用被重复触发,执行负责人,G2,租约失效后任务实际重复,fencing只保护平台写入；引擎侧幂等或人工确认,OPEN,待P0评估,待P0量化,
RISK-13,切换后数据被回滚覆盖,迁移负责人,G2/G4,仅能恢复旧备份,保存新写入并设计回迁/前向修复,OPEN,待P0评估,待P0量化,
RISK-14,离线撤权策略不明确,安全与产品,G3,设备持有过期敏感数据,限制离线数据、加密、过期策略与风险接受,OPEN,待P0评估,待P0量化,
RISK-15,AI生成结果不可靠,AI负责人,G3,建议被当真实执行证据,权限隔离、评价集、人工审查,OPEN,待P0评估,待P0量化,
RISK-16,库依赖停止支持或漏洞,架构/SRE,每版本,运行时或依赖不可修复,版本锁、SBOM、升级和兼容矩阵,OPEN,待P0评估,待P0量化,
