api_id,module_id,method,path,kind,authorization,write_safety,contract_status
M02-API01,M02,GET,/health/live,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M02-API02,M02,GET,/health/ready,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M02-API03,M02,GET,/api/v1/version,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M03-API01,M03,POST,/api/v1/domains,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M03-API02,M03,POST,/api/v1/projects,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M03-API03,M03,PUT,/api/v1/projects/{projectId}/members/{userId},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M03-API04,M03,GET,/api/v1/me/permissions,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M04-API01,M04,POST,/api/v1/projects/{projectId}/field-definitions,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M04-API02,M04,POST,/api/v1/projects/{projectId}/queries/validate,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M04-API03,M04,POST,/api/v1/projects/{projectId}/saved-filters,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M05-API01,M05,POST,/api/v1/projects/{projectId}/uploads,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M05-API02,M05,POST,/api/v1/projects/{projectId}/uploads/{uploadId}/complete,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M05-API03,M05,GET,/api/v1/projects/{projectId}/assets/{assetId}/download,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M06-API01,M06,POST,/api/v1/projects/{projectId}/releases,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M06-API02,M06,POST,/api/v1/projects/{projectId}/releases/{releaseId}/cycles,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M06-API03,M06,POST,/api/v1/projects/{projectId}/milestones/{milestoneId}/evaluate,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M07-API01,M07,POST,/api/v1/projects/{projectId}/requirements,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M07-API02,M07,PATCH,/api/v1/projects/{projectId}/requirements/{requirementId},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M07-API03,M07,POST,/api/v1/projects/{projectId}/requirements/{requirementId}/reviews,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M08-API01,M08,POST,/api/v1/projects/{projectId}/tests,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M08-API02,M08,POST,/api/v1/projects/{projectId}/tests/{testId}/revisions,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M08-API03,M08,POST,/api/v1/projects/{projectId}/tests/{testId}/configurations,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M09-API01,M09,POST,/api/v1/projects/{projectId}/test-sets,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M09-API02,M09,POST,/api/v1/projects/{projectId}/test-sets/{setId}/instances,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M09-API03,M09,POST,/api/v1/projects/{projectId}/runs,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M09-API04,M09,PUT,/api/v1/projects/{projectId}/runs/{runId}/steps/{stepKey},PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M10-API01,M10,POST,/api/v1/projects/{projectId}/defects,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M10-API02,M10,POST,/api/v1/projects/{projectId}/defects/{defectId}/transitions,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M10-API03,M10,POST,/api/v1/projects/{projectId}/defects/{defectId}/comments,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M11-API01,M11,POST,/api/v1/projects/{projectId}/trace-links,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M11-API02,M11,GET,/api/v1/projects/{projectId}/coverage,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M11-API03,M11,POST,/api/v1/projects/{projectId}/trace-links/{linkId}/confirm,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M12-API01,M12,POST,/api/v1/projects/{projectId}/imports,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M12-API02,M12,POST,/api/v1/projects/{projectId}/exports,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M12-API03,M12,GET,/api/v1/notifications,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,只读且权限过滤,TO_BE_REFINED_PER_ISSUE
M12-API04,M12,POST,/api/v1/projects/{projectId}/search,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
M13-API01,M13,POST,/api/v1/projects/{projectId}/workflows,PROPOSED_NOT_IMPLEMENTED,项目/租户/资源权限；兼容端点通过原生业务服务,写操作校验版本、幂等与事务边界,TO_BE_REFINED_PER_ISSUE
