scope_id,module_id,target_behavior,basis,classification,priority,phase,work_package,acceptance_ids,target_version,approval,status,evidence
SC-M01-01,M01,建立合法可访问的目标环境；登记版本、补丁、Edition、扩展、客户端位数、数据库、认证方式、项目数量。以截图及授权记录保存原始证据，不把 26.1 参考文档等同于客户的真实环境。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T01,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M01-02,M01,逐模块录制正常、权限、错误、批量和历史行为；将菜单、字段、导入导出、站点管理及插件分别映射到 scope-matrix.csv。每个差异记录来源、业务影响和验收人。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T02,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M01-03,M01,选取普通、强定制、大数据量三个脱敏项目；提取元数据、关系、附件、运行历史与签名来源，制作 golden-dataset 清单和哈希，不使用未经授权的生产数据。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T03,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M01-04,M01,抽样验证 10 个 REST 调用、3 个 OTA 程序、3 段 VBScript、1 个基线以及 1 个离线包；在新平台概念验证中保存请求、事件序列、结果和不支持项。数字是首轮建议，不是完整覆盖。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T04,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M01-05,M01,将兼容声明拆为业务等价、数据迁移、REST、OTA/COM、脚本、原客户端七类；逐类冻结版本矩阵。未验证项维持 OPEN，不因为主流程演示通过而关闭。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T05,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M01-06,M01,召开 G0 评审：批准范围版本、预算假设、架构 ADR、样本授权及风险处理。P0 无法消除的兼容风险调整计划并保留在最终闸门，不静默删掉全量目标。,R01、R02、R03、R04,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0,M01-T06,M01-AC01;M01-AC02;M01-AC03;M01-AC04;M01-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-01,M02,建立 apps/web、apps/server、apps/worker、agents、compat、contracts、db/migration 和 tests 目录；按领域包划分后端，禁止模块互相直接读写内部仓储。本文档仓库还没有这些业务实现。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T01,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-02,M02,锁定 Java 21、经过兼容测试的 Spring Boot 4.1.x、Node 24 LTS、React/TypeScript 和 PostgreSQL 17 补丁版本；提交 Maven Wrapper、前端锁文件和镜像摘要。先验证依赖再冻结，不在生产使用 latest。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T02,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-03,M02,生成后端健康检查和前端空工作台；加入格式化、类型检查、单元测试、迁移测试、契约测试。数据库仅允许 Flyway 迁移，禁止运行时自动更新生产结构。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T03,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-04,M02,本地通过 Compose 启动数据库、身份提供方和对象存储；所有服务绑定回环地址，密码由本地 .env 注入，生产凭据不进入仓库。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T04,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-05,M02,CI 顺序为静态检查、单测、集成、契约、构建、依赖扫描与 SBOM；PR 检查不授予生产密钥，发布环境单独人工批准。保护分支和权限配置需要管理员执行，不能只创建 YAML 后宣称生效。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T05,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M02-06,M02,从空机器复现构建与回滚；归档软件清单、构建 SHA、镜像摘要和数据库版本。把“应用可启动”与“业务可用”的验收分开。,R05、R06、R07,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P0/P1,M02-T06,M02-AC01;M02-AC02;M02-AC03;M02-AC04;M02-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-01,M03,设计 tenant-domain-project 层次；所有业务实体携带租户及项目，成员关系保存授权版本。站点管理员只管理站点，是否可读取项目数据通过独立权限决定。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T01,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-02,M03,采用身份代理接入 OIDC，后续桥接 SAML、LDAP/AD；浏览器采用 BFF 会话和 HttpOnly Cookie，校验 CSRF；机器接口使用限范围令牌，不把 ID token 当 API access token。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T02,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-03,M03,建立项目角色与 action 权限矩阵；服务端每次校验主体、项目、资源和字段权限；后台任务及附件下载也必须携带受限服务主体。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T03,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-04,M03,增加数据库 RLS 防线：应用使用非 owner、非 superuser、无 BYPASSRLS 角色；事务中设置已验证上下文，连接归还时清理。迁移账户独立保存。RLS 不替代业务授权。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T04,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-05,M03,实现项目创建、暂停、归档、复制与成员离职回收；复制不能带走旧密钥、会话或多余权限；暂停项目禁止新写入但按政策允许读取证据。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T05,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M03-06,M03,补齐会话撤销、令牌轮换、MFA 管理及紧急账号流程；跨项目分析按授权项目集合查询，禁止管理员前端隐藏而后台全量返回。,R08、R09,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1,M03-T06,M03-AC01;M03-AC02;M03-AC03;M03-AC04;M03-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
SC-M04-01,M04,区分系统字段与自定义字段；字段定义包括类型、长度、精度、必填、默认值、选项、可见角色、实体种类与版本，不允许用户字段覆盖保留字段名。,原创工程设计；以 P0 实机盘点为准,INITIAL_ENGINEERING_SCOPE,MUST_CANDIDATE_PENDING_G0,P1/P2,M04-T01,M04-AC01;M04-AC02;M04-AC03;M04-AC04;M04-AC05,UNCONFIRMED,NOT_APPROVED,PLANNED,
